openssl   , 3.0.7   , clang , clang version 18.1.8                            , BN_mod_exp_mont                 , 10 , 1024 , 48382 
openssl   , 3.0.7   , clang , clang version 18.1.8                            , BN_mod_exp_mont_consttime       , 10 , 1024 , 45140 
openssl   , 3.0.7   , clang , clang version 18.1.8                            , EVP_PKEY_sign                   , 10 , 1024 , 43658 
openssl   , 3.0.7   , clang , clang version 18.1.8                            , EVP_PKEY_verify                 , 10 , 1024 , 2611539
openssl   , 3.0.7   , clang , clang version 18.1.8                            , EVP_PKEY_sign_crt               , 10 , 1024 , 152819
gmp       , 6.3.0   , clang , clang version 18.1.8                            , mpz_powm                        , 10 , 1024 , 43016 
gmp       , 6.3.0   , clang , clang version 18.1.8                            , mpz_powm_sec                    , 10 , 1024 , 39102 
gmp       , 6.2.1   , clang , clang version 18.1.8                            , mpz_powm                        , 10 , 1024 , 37108 
gmp       , 6.2.1   , clang , clang version 18.1.8                            , mpz_powm_sec                    , 10 , 1024 , 32933 
gmp       , 6.1.2   , clang , clang version 18.1.8                            , mpz_powm                        , 10 , 1024 , 37544 
gmp       , 6.1.2   , clang , clang version 18.1.8                            , mpz_powm_sec                    , 10 , 1024 , 32880 
nettle    , 3.10    , clang , clang version 18.1.8                            , rsa_sha1_sign_digest            , 10 , 1024 , 134513
nettle    , 3.10    , clang , clang version 18.1.8                            , rsa_sha1_verify_digest          , 10 , 1024 , 2578900
nettle    , 3.8.1   , clang , clang version 18.1.8                            , rsa_sha1_sign_digest            , 10 , 1024 , 131759
nettle    , 3.8.1   , clang , clang version 18.1.8                            , rsa_sha1_verify_digest          , 10 , 1024 , 2629953
mbedtls   , 3.6.2   , clang , clang version 18.1.8                            , mbedtls_rsa_public              , 10 , 1024 , 721357
mbedtls   , 3.6.2   , clang , clang version 18.1.8                            , mbedtls_rsa_private             , 10 , 1024 , 33293 
mbedtls   , 3.6.2   , clang , clang version 18.1.8                            , mbedtls_mpi_exp_mod             , 10 , 1024 , 18755 
mbedtls   , 3.3.0   , clang , clang version 18.1.8                            , mbedtls_rsa_public              , 10 , 1024 , 1110445
mbedtls   , 3.3.0   , clang , clang version 18.1.8                            , mbedtls_rsa_private             , 10 , 1024 , 9626  
mbedtls   , 3.3.0   , clang , clang version 18.1.8                            , mbedtls_mpi_exp_mod             , 10 , 1024 , 8048  
mbedtls   , 2.28.2  , clang , clang version 18.1.8                            , mbedtls_rsa_public              , 10 , 1024 , 1173099
mbedtls   , 2.28.2  , clang , clang version 18.1.8                            , mbedtls_rsa_private             , 10 , 1024 , 9435  
mbedtls   , 2.28.2  , clang , clang version 18.1.8                            , mbedtls_mpi_exp_mod             , 10 , 1024 , 8332  
libgcrypt , 1.11.0  , clang , clang version 18.1.8                            , gcry_mpi_powm                   , 10 , 1024 , 13295 
libgcrypt , 1.11.0  , clang , clang version 18.1.8                            , gcry_pk_verify                  , 10 , 1024 , 1032161
libgcrypt , 1.11.0  , clang , clang version 18.1.8                            , gcry_pk_sign_crt                , 10 , 1024 , 23492 
libgcrypt , 1.11.0  , clang , clang version 18.1.8                            , gcry_pk_sign                    , 10 , 1024 , 12156 
libgcrypt , 1.10.1  , clang , clang version 18.1.8                            , gcry_mpi_powm                   , 10 , 1024 , 13005 
libgcrypt , 1.10.1  , clang , clang version 18.1.8                            , gcry_pk_verify                  , 10 , 1024 , 976910
libgcrypt , 1.10.1  , clang , clang version 18.1.8                            , gcry_pk_sign_crt                , 10 , 1024 , 23744 
libgcrypt , 1.10.1  , clang , clang version 18.1.8                            , gcry_pk_sign                    , 10 , 1024 , 12443 
libgcrypt , 1.8.10  , clang , clang version 18.1.8                            , gcry_mpi_powm                   , 10 , 1024 , 13451 
libgcrypt , 1.8.10  , clang , clang version 18.1.8                            , gcry_pk_verify                  , 10 , 1024 , 1049312
libgcrypt , 1.8.10  , clang , clang version 18.1.8                            , gcry_pk_sign_crt                , 10 , 1024 , 27118 
libgcrypt , 1.8.10  , clang , clang version 18.1.8                            , gcry_pk_sign                    , 10 , 1024 , 13121 
bearssl   , 0.6     , gcc   , gcc (GCC) 14.2.1 20240910                       , br_rsa_i15_private              , 10 , 1536 , 1229  
bearssl   , 0.6     , gcc   , gcc (GCC) 14.2.1 20240910                       , br_rsa_i31_private              , 10 , 1536 , 4708  
