libgcrypt , 1.10.1  , clang , clang version 15.0.7                            , gcry_pk_sign                    , 10 , 2048 , 1872  
openssl   , 3.0.7   , gcc   , gcc (GCC) 13.1.1 20230429                       , EVP_PKEY_sign_crt               , 10 , 3072 , 6762  
openssl   , 3.0.7   , gcc   , gcc (GCC) 13.1.1 20230429                       , EVP_PKEY_verify                 , 10 , 3072 , 336315
openssl   , 3.0.7   , gcc   , gcc (GCC) 13.1.1 20230429                       , BN_mod_exp_mont                 , 10 , 3072 , 2033  
openssl   , 3.0.7   , gcc   , gcc (GCC) 13.1.1 20230429                       , BN_mod_exp_mont_consttime       , 10 , 3072 , 1870  
openssl   , 3.0.7   , gcc   , gcc (GCC) 13.1.1 20230429                       , EVP_PKEY_sign                   , 10 , 3072 , 1845  
openssl   , 3.0.7   , gcc   , gcc (GCC) 13.1.1 20230429                       , BN_mod_exp_mont_consttime_x2    , 10 , 3072 , 1878  
gmp       , 6.2.1   , gcc   , gcc (GCC) 13.1.1 20230429                       , mpz_powm                        , 10 , 3072 , 1813  
gmp       , 6.2.1   , gcc   , gcc (GCC) 13.1.1 20230429                       , mpz_powm_sec                    , 10 , 3072 , 1537  
gmp       , 6.1.2   , gcc   , gcc (GCC) 13.1.1 20230429                       , mpz_powm                        , 10 , 3072 , 1395  
gmp       , 6.1.2   , gcc   , gcc (GCC) 13.1.1 20230429                       , mpz_powm_sec                    , 10 , 3072 , 1212  
gmp       , 5.1.3   , gcc   , gcc (GCC) 13.1.1 20230429                       , mpz_powm                        , 10 , 3072 , 1402  
gmp       , 5.1.3   , gcc   , gcc (GCC) 13.1.1 20230429                       , mpz_powm_sec                    , 10 , 3072 , 1175  
nettle    , 3.8.1   , gcc   , gcc (GCC) 13.1.1 20230429                       , rsa_sha1_verify_digest          , 10 , 3072 , 294053
nettle    , 3.8.1   , gcc   , gcc (GCC) 13.1.1 20230429                       , rsa_sha1_sign_digest            , 10 , 3072 , 5740  
mbedtls   , 3.3.0   , gcc   , gcc (GCC) 13.1.1 20230429                       , mbedtls_rsa_private             , 10 , 3072 , 1122  
mbedtls   , 3.3.0   , gcc   , gcc (GCC) 13.1.1 20230429                       , mbedtls_mpi_exp_mod             , 10 , 3072 , 495   
mbedtls   , 3.3.0   , gcc   , gcc (GCC) 13.1.1 20230429                       , mbedtls_rsa_public              , 10 , 3072 , 110855
mbedtls   , 2.28.2  , gcc   , gcc (GCC) 13.1.1 20230429                       , mbedtls_rsa_private             , 10 , 3072 , 1190  
mbedtls   , 2.28.2  , gcc   , gcc (GCC) 13.1.1 20230429                       , mbedtls_mpi_exp_mod             , 10 , 3072 , 492   
mbedtls   , 2.28.2  , gcc   , gcc (GCC) 13.1.1 20230429                       , mbedtls_rsa_public              , 10 , 3072 , 117837
libgcrypt , 1.10.1  , gcc   , gcc (GCC) 13.1.1 20230429                       , gcry_pk_verify                  , 10 , 3072 , 132933
libgcrypt , 1.10.1  , gcc   , gcc (GCC) 13.1.1 20230429                       , gcry_pk_sign_crt                , 10 , 3072 , 1357  
